Year,Distance,Fuel,Seller_Type,Transmission,Owner,Engine,Power,Seats,Price
2014,56000,Petrol,Individual,Manual,First,1591 cc,121 bhp @ 6300 rpm,5,545000
2022,3383,Petrol,Individual,Manual,First,998 cc,118 bhp @ 6000 rpm,5,1085000
2018,42000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,725000
2012,65000,Diesel,Individual,Automatic,Second,1995 cc,184 bhp @ 4000 rpm,5,1090000
2019,17000,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,900000
2016,38000,Diesel,Individual,Automatic,Second,1995 cc,188 bhp @ 4000 rpm,5,3400000
2014,62500,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,295000
2021,30229,Diesel,Individual,Automatic,First,1956 cc,168 bhp @ 3750 rpm,5,2251000
2019,9000,Petrol,Corporate,Automatic,First,3436 cc,325 bhp @ 7400 rpm,4,9300000
2016,26600,CNG,Individual,Manual,First,998 cc,58 bhp @ 6200 rpm,5,430000
2017,86000,Diesel,Individual,Manual,Second,1248 cc,89 bhp @ 4000 rpm,5,600000
2017,86000,Petrol,Individual,Automatic,First,1999 cc,153 bhp @ 6200 rpm,5,1595000
2014,125000,Diesel,Individual,Manual,First,,,,290000
2013,29135,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,375000
2015,50965,Diesel,Corporate,Automatic,First,1984 cc,150 bhp @ 3500 rpm,5,1200000
2014,72000,Diesel,Individual,Automatic,First,2982 cc,169 bhp @ 3600 rpm,7,1525000
2016,28000,Petrol,Individual,Automatic,First,1991 cc,181 bhp @ 5500 rpm,5,2675000
2015,42000,Petrol,Individual,Automatic,First,1199 cc,89 bhp @ 6000 rpm,5,545000
2017,11850,Diesel,Individual,Automatic,First,2925 cc,282 bhp @ 3600 rpm,5,7900000
2010,32000,Petrol,Individual,Manual,First,1198 cc,89 bhp @ 6200 rpm,5,195000
2021,24000,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,4550000
2015,50623,Diesel,Individual,Automatic,Second,2179 cc,188 bhp @ 3500 rpm,5,2499000
2012,85000,Diesel,Individual,Manual,Fourth,2489 cc,95@3600,7,210000
2022,1700,Diesel,Individual,Manual,First,1493 cc,99 bhp @ 4000 rpm,5,1097000
2020,43260,Petrol,Individual,Automatic,First,1197 cc,103 bhp @ 5000 rpm,5,1095000
2015,67738,CNG,Individual,Manual,Second,998 cc,58 bhp @ 6200 rpm,5,325000
2019,69000,Diesel,Individual,Manual,First,2179 cc,140 bhp @ 3750 rpm,7,1375000
2012,93417,Diesel,Individual,Automatic,First,,,,975000
2021,14722,Petrol,Individual,Manual,First,1197 cc,89 bhp @ 6000 rpm,5,745000
2017,29000,Diesel,Individual,Manual,First,2393 cc,148 bhp @ 3400 rpm,7,2175000
2017,60200,Petrol,Corporate,Automatic,First,1368 cc,160 bhp @ 5500 rpm,5,1250000
2017,140000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,500000
2017,23798,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,625000
2011,55000,Petrol,Individual,Manual,First,1497 cc,118@6600,5,250000
2017,51000,Petrol,Individual,Automatic,First,1197 cc,103 bhp @ 5000 rpm,5,650000
2014,49000,Petrol,Individual,Manual,Second,1198 cc,87 bhp @ 6000 rpm,5,310000
2017,48000,Petrol,Individual,Manual,First,1498 cc,105 bhp @ 5600 rpm,5,600000
2013,121000,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,1400000
2013,74000,Diesel,Individual,Manual,First,1498 cc,89 bhp @ 3750 rpm,5,295000
2012,102000,Diesel,Individual,Manual,Second,2179 cc,140 bhp @ 3750 rpm,7,484999
2018,32000,Petrol,Individual,Automatic,First,1998 cc,248 bhp @ 5200 rpm,5,4250000
2020,48400,Electric,Individual,Automatic,First,,,5,1550000
2013,97000,Diesel,Individual,Manual,First,2179 cc,138 bhp @ 4000 rpm,7,375000
2021,16000,Petrol,Individual,Automatic,First,1353 cc,138 bhp @ 6000 rpm,5,1625000
2016,55700,Diesel,Corporate,Automatic,First,2967 cc,241 bhp @ 3800 rpm,5,5350000
2017,80000,Diesel,Individual,Automatic,First,2993 cc,262 bhp @ 4000 rpm,5,4250000
2014,115000,Diesel,Individual,Manual,First,1498 cc,89 bhp @ 3750 rpm,5,480000
2020,74000,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,590000
2015,61000,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,561000
2014,104814,Petrol,Individual,Manual,First,1798 cc,138 bhp @ 6400 rpm,5,725000
2013,17000,Petrol,Individual,Manual,First,1797 cc,147 bhp @ 6500 rpm,5,645000
2015,60000,Diesel,Individual,Automatic,Second,1968 cc,174 bhp @ 4200 rpm,5,1695000
2016,45000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,450000
2016,75811,Diesel,Individual,Manual,First,2179 cc,138 bhp @ 3750 rpm,7,1375000
2021,3813,Petrol,Individual,Manual,First,1997 cc,150 bhp @ 5000 rpm,4,1700000
2016,64928,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,525000
2018,68500,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,590000
2014,85000,Diesel,Individual,Automatic,First,2982 cc,169 bhp @ 3600 rpm,7,1495000
2017,41296,Diesel,Individual,Automatic,First,1995 cc,190 bhp @ 4000 rpm,5,3300000
2013,72567,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,385000
2020,4295,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,535000
2018,82000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,875000
2010,33000,Petrol,Individual,Manual,First,1298 cc,87@6000,5,295000
2011,54000,Petrol,Individual,Manual,First,1368 cc,90@6000,5,235000
2018,68000,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,969999
2022,8530,Petrol,Individual,Automatic,UnRegistered Car,1498 cc,119 bhp @ 6600 rpm,5,1700000
2018,46000,Petrol,Individual,Automatic,First,1999 cc,153 bhp @ 6200 rpm,5,1789999
2020,26000,Petrol,Individual,Manual,First,2694 cc,164 bhp @ 5200 rpm,7,1964999
2014,39394,Petrol,Individual,Automatic,Second,1984 cc,208 bhp @ 4300 rpm,2,4000000
2018,35000,Petrol,Individual,Automatic,First,1199 cc,84 bhp @ 6000 rpm,5,484999
2019,17881,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,580000
2014,48409,Petrol,Individual,Manual,Second,1497 cc,117 bhp @ 6600 rpm,5,450000
2020,40000,Petrol,Individual,Manual,First,796 cc,47 bhp @ 6000 rpm,5,355000
2017,61643,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 4200 rpm,5,2375000
2020,21000,Petrol,Individual,Automatic,Second,1991 cc,241 bhp @ 5500 rpm,4,6500000
2022,1500,Petrol,Individual,Manual,First,1199 cc,118 bhp @ 5500 rpm,5,1050000
2014,38985,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3750 rpm,5,445000
2015,52000,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,495000
2011,42000,Petrol,Individual,Manual,First,1197 cc,79 bhp @ 6000 rpm,5,275000
2014,29442,Petrol,Individual,Automatic,First,1198 cc,87 bhp @ 6000 rpm,5,465000
2017,71800,Diesel,Individual,Manual,First,1956 cc,171 bhp @ 3750 rpm,5,1050000
2022,5000,Petrol,Individual,Automatic,First,1497 cc,181 bhp @ 5800 rpm,5,4900000
2020,18000,CNG,Individual,Manual,First,1197 cc,68 bhp @ 6000 rpm,5,695000
2018,37000,Diesel,Individual,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,3210000
2009,85000,Petrol,Individual,Manual,Second,1497 cc,118@6600,5,269000
2018,65555,Diesel,Individual,Manual,Second,1186 cc,74 bhp @ 4000 rpm,5,445000
2021,35000,Diesel,Individual,Automatic,First,1999 cc,177 bhp @ 4000 rpm,5,5950000
2018,87000,Diesel,Individual,Automatic,First,1995 cc,190 bhp @ 4000 rpm,5,3800000
2018,42000,Petrol,Individual,Automatic,First,1591 cc,122 bhp @ 6400 rpm,5,1000000
2018,68000,Diesel,Individual,Manual,Second,2179 cc,140 bhp @ 3750 rpm,7,1490000
2022,600,Petrol,Individual,Manual,First,1498 cc,108 bhp @ 6000 rpm,5,1550000
2011,192326,Diesel,Individual,Manual,Third,2179 cc,120@4000,7,199000
2013,82000,Petrol,Individual,Manual,UnRegistered Car,1998 cc,136@5600,8,575000
2017,86006,Diesel,Individual,Manual,First,1364 cc,67 bhp @ 3800 rpm,5,484999
2014,75000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,425000
2014,99000,Diesel,Individual,Manual,First,2179 cc,120 bhp @ 4000 rpm,8,1150000
2021,21651,Petrol,Individual,Automatic,First,1798 cc,177 bhp @ 5100 rpm,5,3195000
2016,84000,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,725000
2014,65000,Diesel,Individual,Automatic,Second,2997 cc,254 bhp @ 3600 rpm,5,2450000
2017,31000,Petrol,Individual,Automatic,First,1373 cc,91 bhp @ 6000 rpm,5,741000
2022,17000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,7350000
2020,28000,Diesel,Individual,Manual,First,2184 cc,130 bhp @ 3750 rpm,6,1550000
2015,64000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,645000
2014,85000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,550000
2017,35000,Petrol,Individual,Automatic,Third,1197 cc,83 bhp @ 6000 rpm,5,595000
2015,44000,Diesel,Individual,Automatic,First,1984 cc,150 bhp @ 3500 rpm,5,1595000
2017,32000,Petrol,Individual,Automatic,Second,998 cc,67 bhp @ 6000 rpm,5,500000
2016,49857,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,345000
2013,46000,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,299000
2008,50000,Petrol,Individual,Manual,Second,1061 cc,67@6200,5,160000
2017,36000,Petrol,Individual,Automatic,First,1197 cc,83 bhp @ 6000 rpm,5,570000
2021,13000,Petrol,Individual,Automatic,First,999 cc,99 bhp @ 5000 rpm,5,800000
2018,40000,Petrol,Individual,Manual,First,,,5,440000
2007,39000,Petrol,Individual,Automatic,Third,,,,509999
2013,45000,Petrol,Individual,Manual,First,998 cc,68 bhp @ 6200 rpm,5,315000
2011,87513,Petrol,Individual,Manual,Second,796 cc,47@6200,5,227000
2011,26000,Petrol,Individual,Automatic,First,3498 cc,272 bhp @ 6300 rpm,5,1850000
2022,3800,CNG,Individual,Manual,First,998 cc,58 bhp @ 5500 rpm,4,610000
2018,35123,Diesel,Individual,Manual,First,2393 cc,148 bhp @ 3400 rpm,8,1995000
2021,21000,Diesel,Individual,Automatic,First,1493 cc,114 bhp @ 4000 rpm,5,1875000
2022,2670,Petrol,Individual,Automatic,First,1497 cc,113 bhp @ 6300 rpm,5,1748999
2016,124000,Diesel,Individual,Manual,First,1598 cc,105 bhp @ 4400 rpm,5,640000
2016,9889,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,779000
2021,13000,Petrol,Individual,Automatic,First,1497 cc,118 bhp @ 6600 rpm,5,1450000
2018,35000,Petrol,Individual,Automatic,First,1198 cc,108 bhp @ 5000 rpm,5,890000
2017,51145,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,625000
2019,13000,Diesel,Individual,Automatic,First,2987 cc,255 bhp @ 3400 rpm,7,8500000
2011,56000,Petrol,Individual,Automatic,Third,4163 cc,444 bhp @ 8250 rpm,5,2900000
2010,120000,Diesel,Individual,Manual,First,,,,434999
2018,45000,Diesel,Individual,Automatic,First,2143 cc,168 bhp @ 3000 rpm,5,4550000
2017,82900,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 3600 rpm,5,2500000
2014,56843,CNG + CNG,Individual,Manual,Second,796 cc,47 bhp @ 6000 rpm,5,249000
2015,64000,Petrol,Individual,Manual,First,1196 cc,70 bhp @ 6250 rpm,5,270000
2019,9644,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,825000
2017,41624,Petrol,Individual,Automatic,Second,998 cc,67 bhp @ 6000 rpm,5,425000
2016,82844,Diesel,Individual,Manual,First,1186 cc,74 bhp @ 4000 rpm,5,459999
2011,78000,Petrol,Individual,Automatic,Second,2497 cc,204@6100,5,980000
2017,60444,Petrol,Individual,Manual,First,1498 cc,105 bhp @ 5600 rpm,5,789000
2022,6000,Petrol,Individual,Automatic,First,1998 cc,248 bhp @ 5200 rpm,5,5100000
2014,125000,Diesel,Individual,Manual,First,2179 cc,120 bhp @ 4000 rpm,8,775000
2019,13000,Petrol,Individual,Automatic,First,1591 cc,122 bhp @ 6400 rpm,5,1400000
2015,112000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,7,770000
2012,54948,Diesel,Individual,Manual,First,1248 cc,75@4000,5,445000
2016,53300,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,450000
2019,34000,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,840000
2021,21000,Petrol,Individual,Automatic,First,3982 cc,463 bhp @ 5250 rpm,4,18500000
2017,25500,Diesel,Individual,Automatic,Second,1999 cc,177 bhp @ 4000 rpm,5,4000000
2015,157662,Diesel,Individual,Manual,Second,1997 cc,138 bhp @ 3750 rpm,7,690000
2018,20000,Diesel,Individual,Automatic,First,2143 cc,136 bhp @ 3200 rpm,5,2800000
2018,78900,Diesel,Individual,Manual,First,1120 cc,71 bhp @ 4000 rpm,5,525000
2011,52000,CNG,Individual,Manual,First,998 cc,59@6200,5,285000
2022,11000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,7780000
2018,103000,Diesel,Individual,Automatic,First,,,7,1989999
2017,95785,Diesel,Individual,Automatic,First,2179 cc,154 bhp @ 4000 rpm,7,1200000
2017,92000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3750 rpm,5,620000
2019,43000,Diesel,Individual,Automatic,First,1999 cc,177 bhp @ 4000 rpm,5,5200000
2017,39328,Diesel,Individual,Automatic,First,2143 cc,134 bhp @ 3600 rpm,5,1998999
2020,18625,Diesel,Individual,Automatic,First,2393 cc,148 bhp @ 3400 rpm,7,2725000
2019,26000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,590000
2014,81000,Diesel,Individual,Automatic,Second,1995 cc,112 bhp @,5,1489000
2018,92000,Diesel,Individual,Automatic,First,1248 cc,74 bhp @ 4000 rpm,5,685000
2019,38000,Diesel,Individual,Manual,First,2523 cc,75 bhp @ 3200 rpm,7,1121000
2012,93000,Petrol,Individual,Manual,Second,1368 cc,90@6000,5,114999
2019,10340,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,545000
2015,47706,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 4200 rpm,5,1350000
2021,13400,Petrol,Individual,Manual,First,1462 cc,103 bhp @ 6000 rpm,6,1299000
2016,44613,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3750 rpm,5,450000
2017,7000,Petrol,Individual,Automatic,First,1988 cc,295 bhp @ 6500 rpm,2,9000000
2019,29000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,550000
2020,23000,Diesel,Corporate,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,4390000
2015,67580,CNG,Individual,Manual,First,998 cc,58 bhp @ 6200 rpm,5,445000
2015,42000,Petrol,Individual,Manual,First,1591 cc,121 bhp @ 6300 rpm,5,495000
2015,16205,Petrol,Individual,Manual,First,998 cc,68 bhp @ 6200 rpm,5,360000
2007,92000,Petrol,Individual,Automatic,Third,1995 cc,120@5500,5,345000
2016,29000,Petrol,Individual,Automatic,First,1197 cc,79 bhp @ 6000 rpm,5,565000
2022,14000,Diesel,Individual,Automatic,First,1950 cc,241 bhp @ 4200 rpm,5,9390000
2017,69000,Diesel,Individual,Automatic,First,1493 cc,100 bhp @ 3750 rpm,7,615000
2015,114635,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,525000
2018,50000,Diesel,Individual,Automatic,Second,1995 cc,184 bhp @ 4000 rpm,5,2650000
2019,29221,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,3785000
2012,158000,Petrol,Individual,Automatic,First,,,,1500000
2012,77000,Diesel,Individual,Automatic,Second,1968 cc,177 bhp @ 3750 rpm,5,1175000
2022,5500,Diesel,Individual,Automatic,UnRegistered Car,1950 cc,192 bhp @ 3800 rpm,5,6400000
2013,70000,Diesel,Individual,Automatic,Second,1995 cc,184 bhp @ 4000 rpm,5,1450000
2017,65341,Diesel,Individual,Automatic,Second,2993 cc,258 bhp @ 4000 rpm,5,4900000
2022,32000,Petrol,Individual,Automatic,First,1498 cc,119 bhp @ 6600 rpm,5,1390000
2018,9500,Petrol,Individual,Automatic,First,3902 cc,660 bhp @ 8000 rpm,2,35000000
2020,17904,Diesel,Individual,Automatic,First,1968 cc,141 bhp @ 4000 rpm,5,2990000
2012,95000,Diesel,Individual,Automatic,First,2179 cc,190 bhp @ 3500 rpm,5,2150000
2013,72000,CNG,Individual,Manual,First,998 cc,59@6200,5,315000
2004,65082,Petrol,Individual,Manual,First,,,,71001
2012,66240,Petrol,Individual,Manual,Third,,,,295000
2018,25275,Petrol,Individual,Automatic,First,2996 cc,362 bhp @ 5500 rpm,5,8500000
2016,67850,CNG,Individual,Manual,First,998 cc,58 bhp @ 6200 rpm,5,400000
2010,60000,Petrol,Individual,Manual,First,624 cc,35@5250,4,49000
2012,88500,Diesel,Individual,Manual,Second,,,,379000
2017,105000,Diesel,Corporate,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,610000
2019,45000,Petrol,Individual,Automatic,First,1591 cc,122 bhp @ 6400 rpm,5,1075000
2021,8000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,7500000
2018,38000,Petrol,Corporate,Automatic,First,1798 cc,138 bhp @ 6400 rpm,5,1321000
2020,55055,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,950000
2021,22000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,825000
2013,95000,Diesel,Individual,Manual,Second,2477 cc,176 bhp @ 4000 rpm,7,1300000
2014,25704,Petrol,Individual,Manual,First,1197 cc,85 bhp @ 6000 rpm,5,465000
2016,55353,Diesel,Individual,Manual,Second,1248 cc,74 bhp @ 4000 rpm,5,475000
2015,80000,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 4200 rpm,5,1775000
2018,62000,Petrol,Corporate,Automatic,First,1197 cc,103 bhp @ 5000 rpm,5,825000
2019,41526,Diesel,Individual,Automatic,First,3198 cc,197 bhp @ 3000 rpm,7,3450000
2018,29434,Petrol,Individual,Manual,Second,1047 cc,69 bhp @ 4000 rpm,5,379000
2017,42000,Petrol,Individual,Manual,First,1198 cc,67 bhp @ 5000 rpm,5,240000
2021,14000,Petrol,Individual,Manual,First,1497 cc,114 bhp @ 6300 rpm,5,1525000
2014,35000,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,1400000
2012,75000,Diesel,Individual,Automatic,Second,,,,1044999
2016,6000,Petrol,Individual,Automatic,First,5204 cc,602 bhp @ 8250 rpm,2,24000000
2018,61000,Diesel,Individual,Automatic,Second,2143 cc,134 bhp @ 3600 rpm,5,2450000
2015,45000,Diesel,Individual,Automatic,First,2143 cc,134 bhp @ 3600 rpm,5,1789999
2019,31000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,4275000
2020,39000,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,775000
2012,52000,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,229999
2011,54000,CNG,Individual,Manual,First,998 cc,59@6200,5,280000
2018,51000,Petrol,Individual,Manual,First,814 cc,55 bhp @ 5500 rpm,5,300000
2011,72000,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6000 rpm,5,160000
2011,65000,Petrol,Individual,Manual,First,796 cc,47@6200,5,150000
2020,50000,Diesel,Individual,Automatic,First,1950 cc,241 bhp @ 4200 rpm,5,8300000
2016,80251,Diesel,Individual,Automatic,Second,1968 cc,174 bhp @ 4200 rpm,5,1685000
2010,86000,Petrol,Individual,Manual,Second,1197 cc,80@5200,5,270000
2014,42505,Petrol,Individual,Manual,First,796 cc,47 bhp @ 6000 rpm,5,210000
2017,42000,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,625000
2017,42200,Diesel,Individual,Automatic,First,2993 cc,262 bhp @ 4000 rpm,4,6900000
2019,57600,Petrol,Individual,Automatic,First,1353 cc,138 bhp @ 6000 rpm,5,1490000
2018,57000,Diesel,Individual,Manual,First,2179 cc,153 bhp @ 3750 rpm,7,1095000
2014,85000,Diesel,Individual,Automatic,First,2953 cc,154 bhp @ 3200 rpm,7,850000
2016,128000,Diesel,Corporate,Automatic,Second,1995 cc,182 bhp @ 4000 rpm,5,1600000
2011,66000,Petrol,Individual,Manual,First,1496 cc,80 bhp @ 5600 rpm,5,265000
2013,58000,Petrol,Individual,Manual,First,1598 cc,103 bhp @ 5250 rpm,5,360000
2012,89445,Diesel,Individual,Manual,First,1248 cc,75@4000,5,350000
2015,64120,Diesel,Individual,Manual,Second,2982 cc,169 bhp @ 3600 rpm,7,1485000
2017,82300,Petrol,Individual,Manual,First,1373 cc,91 bhp @ 6000 rpm,5,800000
2017,73000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,710000
2018,72000,Diesel,Individual,Manual,First,1598 cc,118 bhp @ 3750 rpm,5,710000
2018,50197,Petrol,Individual,Manual,First,999 cc,75 bhp @ 6200 rpm,5,720000
2014,44527,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,395000
2017,72400,Diesel,Individual,Automatic,First,1968 cc,188 bhp @ 4200 rpm,5,2799000
2014,50000,Petrol,Individual,Manual,Second,1499 cc,109 bhp @ 6300 rpm,5,455000
2014,37000,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,690000
2021,20000,Diesel,Individual,Automatic,First,2925 cc,326 bhp @ 3600 rpm,7,13000000
2020,8000,Diesel,Individual,Automatic,First,1956 cc,168 bhp @ 3750 rpm,5,1995000
2014,69000,Diesel,Individual,Automatic,Second,1995 cc,190 bhp @ 4000 rpm,5,1750000
2019,25000,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,2900000
2022,17000,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,4500000
2013,61000,Petrol,Individual,Manual,First,1497 cc,116 bhp @ 6600 rpm,5,450000
2015,69000,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,2149000
2015,77000,Diesel,Individual,Automatic,Second,2987 cc,258 bhp @ 3600 rpm,7,4200000
2018,82200,Diesel,Individual,Manual,First,1497 cc,108 bhp @ 3750 rpm,5,860000
2018,28000,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,875000
2011,117000,Diesel,Individual,Manual,Second,2179 cc,122@4000,7,580000
2021,7900,Diesel,Individual,Automatic,First,1996 cc,215 bhp @ 4000 rpm,6,3500000
2010,72000,Petrol,Individual,Manual,First,1298 cc,87@6000,5,229999
2015,79000,Diesel,Individual,Automatic,Second,1968 cc,174 bhp @ 4200 rpm,5,1513000
2013,72600,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,234000
2018,42313,Petrol,Individual,Automatic,Second,999 cc,67 bhp @ 5500 rpm,5,320000
2021,18000,Diesel,Individual,Automatic,First,1995 cc,190 bhp @ 4000 rpm,5,5975000
2019,90000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,1025000
2010,18500,Petrol,Individual,Manual,First,796 cc,47@6200,5,169000
2017,36000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,630000
2020,26200,Petrol,Individual,Automatic,First,998 cc,118 bhp @ 6000 rpm,5,1090000
2019,11000,Petrol,Individual,Manual,Second,1197 cc,82 bhp @ 6000 rpm,5,700000
2021,14366,Petrol,Individual,Manual,First,1197 cc,89 bhp @ 6000 rpm,5,661000
2011,98000,Diesel,Individual,Manual,First,2179 cc,120@4000,7,250999
2017,65000,Diesel,Individual,Manual,Second,1493 cc,84 bhp @ 3750 rpm,7,565000
2014,126000,Diesel,Individual,Manual,First,2494 cc,100 bhp @ 3600 rpm,7,750000
2015,71700,Diesel,Individual,Automatic,Second,1968 cc,174 bhp @ 4200 rpm,5,1850000
2016,114000,Diesel,Individual,Manual,First,2179 cc,138 bhp @ 3750 rpm,7,850000
2016,58339,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,535000
2011,50667,Petrol,Individual,Automatic,Second,,,,345000
2019,72040,Diesel,Individual,Automatic,First,1248 cc,74 bhp @ 4000 rpm,5,770000
2019,6000,Petrol,Individual,Automatic,First,1998 cc,248 bhp @ 5200 rpm,5,3650000
2022,6200,Petrol,Individual,Manual,First,998 cc,118 bhp @ 6000 rpm,5,1195000
2012,44000,Petrol,Individual,Automatic,Third,5461 cc,368 bhp @ 6300 rpm,5,1650000
2021,6900,Petrol,Individual,Automatic,First,1798 cc,177 bhp @ 5100 rpm,5,3199000
2022,2500,Petrol,Individual,Automatic,First,1991 cc,194 bhp @ 5800 rpm,5,7100000
2016,68000,Petrol,Individual,Automatic,First,1197 cc,103 bhp @ 5000 rpm,5,625000
2018,36000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,745000
2021,19000,Petrol,Individual,Manual,First,1086 cc,68 bhp @ 5500 rpm,5,551000
2019,10000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,5950000
2019,35000,Diesel,Individual,Automatic,First,2993 cc,244 bhp @ 4000 rpm,5,22000000
2019,6400,Diesel,Individual,Automatic,First,1496 cc,114 bhp @ 4000 rpm,5,3300000
2019,34000,Diesel,Individual,Automatic,First,3198 cc,197 bhp @ 3000 rpm,7,3250000
2016,35000,Diesel,Individual,Automatic,Second,1461 cc,108 bhp @ 3900 rpm,5,690000
2019,46000,Diesel,Individual,Automatic,First,1248 cc,89 bhp @ 4000 rpm,5,894999
2016,83000,Diesel,Individual,Manual,First,1598 cc,105 bhp @ 4400 rpm,5,550000
2013,54000,Diesel,Individual,Manual,Third,1498 cc,89 bhp @ 3750 rpm,5,399000
2020,42000,Petrol,Individual,Manual,First,1497 cc,113 bhp @ 6300 rpm,5,1275000
2020,41441,Petrol,Individual,Manual,First,1196 cc,73 bhp @ 6000 rpm,5,535000
2018,48174,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,825000
2016,62591,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3750 rpm,5,585000
2017,48650,Petrol,Individual,Automatic,First,1199 cc,89 bhp @ 6000 rpm,5,675000
2017,52245,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,795000
2021,7500,Petrol,Individual,Automatic,First,1991 cc,194 bhp @ 5800 rpm,5,6500000
2017,65000,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,611000
